구,합계_개소,합계_매장면적,합계_건물연면적,대형마트_개소,대형마트_매장면적,대형마트_건물연면적,백화점_개소,백화점_매장면적,백화점_건물연면적,전문점_개소,전문점_매장면적,전문점_건물연면적,쇼핑센터_개소,쇼핑센터_매장면적,쇼핑센터_건물연면적,복합쇼핑몰_개소,복합쇼핑몰_매장면적,복합쇼핑몰_건물연면적,그밖의 대규모점포_개소,그밖의 대규모점포_매장면적,그밖의 대규모점포_건물연면적
소계,470,5331053,27007889,62,869050,6430205,32,942943,4198451,22,373094,2827885,35,732229,3553922,10,278711,1534046,309,2135028,8463380
종로구,12,133876,444978,-,-,-,-,-,-,2,16256,168311,-,-,-,-,-,-,10,117620,276667
중구,53,688455,4168708,2,26479,408605,3,86672,386180,2,20821,520930,8,99051,294531,-,-,-,38,455432,2558462
용산구,15,298458,1218260,2,13417,293331,1,19377,276688,5,167320,228979,3,86786,298328,-,-,-,4,11558,120934
성동구,14,118525,638524,2,28891,198358,-,-,-,1,27129,31845,-,-,-,1,13997,142038,10,48508,266283
광진구,19,99408,822946,2,14314,313848,1,27017,88630,-,-,-,-,-,-,-,-,-,16,58077,420468
동대문구,23,172452,797378,2,22921,220971,2,53326,203479,3,28501,75102,-,-,-,-,-,-,16,67704,297826
중랑구,14,114817,586582,6,66688,257850,-,-,-,-,-,-,-,-,-,1,21844,232943,7,26285,95789
성북구,18,106229,167757,3,47024,47024,1,36583,88679,-,-,-,-,-,-,1,17056,26488,13,5566,5566
강북구,13,96414,184038,1,8319,19707,1,45651,73173,-,-,-,2,17188,37900,-,-,-,9,25256,53258
도봉구,9,53923,141130,3,25115,91084,-,-,-,-,-,-,-,-,-,-,-,-,6,28808,50046
노원구,14,167941,446552,3,42343,134100,2,58519,132704,-,-,-,-,-,-,-,-,-,9,67079,179748
은평구,19,143617,484672,2,22986,139162,-,-,-,-,-,-,4,37538,145047,1,57505,160220,12,25588,40243
서대문구,9,80282,199525,-,-,-,1,35472,84575,-,-,-,-,-,-,-,-,-,8,44810,114950
마포구,15,80768,678379,3,31906,521007,-,-,-,1,13532,29002,-,-,-,-,-,-,11,35330,128370
양천구,14,119303,443945,2,14074,59518,2,62577,239441,-,-,-,1,19765,3387,-,-,-,9,22887,141599
강서구,18,315656,1054037,4,155481,482673,1,34547,110026,1,17623,38254,1,77670,315098,-,-,-,11,30335,107986
구로구,24,364371,1830202,4,45030,569584,2,63277,210647,-,-,-,1,4389,13224,-,-,-,17,251675,1036747
금천구,15,322035,748144,3,56885,153342,-,-,-,-,-,-,5,103085,284932,1,24948,98995,6,137117,210875
영등포구,27,402843,1626729,5,97713,733867,2,50499,146749,2,19564,113125,3,101724,385067,1,37286,84288,14,96057,163633
동작구,6,23288,39029,-,-,-,1,11900,15248,-,-,-,-,-,-,-,-,-,5,11388,23781
관악구,21,107180,320190,1,14784,32282,1,21711,91647,-,-,-,1,7081,7870,3,26037,87194,15,37567,101197
서초구,27,299026,1408128,3,22979,208763,2,65607,285708,3,54347,231184,-,-,-,-,-,-,19,156093,682473
강남구,32,332701,1815204,1,5174,46778,6,136951,318845,-,-,-,3,27290,443334,1,80038,701880,21,83248,304367
송파구,23,545601,6292644,5,74611,1390126,2,104262,1371829,2,8001,1391153,3,150662,1325204,-,-,-,11,208065,814332
강동구,16,143884,450208,3,31916,108225,1,28994,74203,-,-,-,-,-,-,-,-,-,12,82974,267780
