구,합계_개소,합계_판매면적,합계_건물연면적,대형마트_개소,대형마트_판매면적,대형마트_건물연면적,백화점_개소,백화점_판매면적,백화점_건물연면적,전문점_개소,전문점_판매면적,전문점_건물연면적,쇼핑센터_개소,쇼핑센터_판매면적,쇼핑센터_건물연면적,복합쇼핑몰_개소,복합쇼핑몰_판매면적,복합쇼핑몰_건물연면적,그밖의 대규모점포_개소,그밖의 대규모점포_판매면적,그밖의 대규모점포_건물연면적
소계,455,4703202,24960186,57,625265,5056615,31,1032900,3998397,24,303336,2348164,39,760636,4269229,8,158173,1293014,296,1822892,7994768
종로구,13,156702,490721,-,-,-,-,-,-,2,16256,168311,-,-,-,-,-,-,11,140446,322410
중구,54,753303,2967459,2,30700,477708,3,129514,257206,2,18375,76932,9,127030,498863,-,-,-,38,447683,1656751
용산구,15,268776,674560,2,14185,16643,1,17898,22663,8,138041,231510,3,91776,298328,-,-,-,1,6876,105416
성동구,8,67174,436952,2,25949,198358,-,-,-,1,27129,31845,-,-,-,-,-,-,5,14096,206749
광진구,19,96306,822504,2,14314,313848,1,24668,88630,-,-,-,-,-,-,-,-,-,16,57324,420026
동대문구,21,128594,580961,2,18464,79448,1,33840,141523,3,22812,75103,-,-,-,-,-,-,15,53478,284887
중랑구,14,98711,586582,6,59713,257850,-,-,-,-,-,-,-,-,-,1,16011,232943,7,22987,95789
성북구,19,86829,328355,3,34768,163782,1,35955,88679,-,-,-,-,-,-,1,6473,26488,14,9633,49406
강북구,12,80994,179010,1,8319,19709,1,45651,73173,-,-,-,2,7925,37900,-,-,-,8,19099,48228
도봉구,8,31468,121374,2,20775,52566,-,-,-,-,-,-,-,-,-,-,-,-,6,10693,68808
노원구,14,164758,506793,2,14655,94373,2,50179,132704,-,-,-,1,35563,99968,-,-,-,9,64361,179748
은평구,16,123604,487863,2,20109,139162,-,-,-,-,-,-,4,34651,145047,1,51832,160220,9,17012,43434
서대문구,9,80282,199525,-,-,-,1,35472,84575,-,-,-,-,-,-,-,-,-,8,44810,114950
마포구,16,77840,657614,3,30122,446005,-,-,-,1,6726,29002,1,9445,54235,-,-,-,11,31547,128372
양천구,20,149357,453681,1,14074,59518,1,62577,239441,-,-,-,1,19765,47172,-,-,-,17,52941,107550
강서구,15,169928,695800,3,47408,167576,1,34259,110026,-,-,-,1,67679,315098,-,-,-,10,20582,103100
구로구,23,320053,1776319,3,28765,509686,2,75366,216662,-,-,-,1,4389,13224,-,-,-,17,211533,1036747
금천구,15,299212,993624,3,51761,160588,-,-,-,-,-,-,7,130580,631544,-,-,-,5,116871,201492
영등포구,26,418656,1483096,5,58789,392973,3,129883,340685,2,11963,113125,2,82881,351445,1,29972,84288,13,105168,200580
동작구,6,61058,516970,-,-,-,1,11900,15248,-,-,-,-,-,-,-,-,-,5,49158,501722
관악구,21,90445,318912,1,8692,32282,1,21061,91674,-,-,-,1,3384,7870,3,23568,87195,15,33739,99891
서초구,27,277560,1638939,4,32676,355985,2,67781,305174,3,54034,231184,-,-,-,-,-,-,18,123069,746596
강남구,32,255893,1815204,1,5174,46778,6,132245,318845,-,-,-,3,18083,443334,1,30317,701880,21,70074,304367
송파구,22,349032,5866062,4,60029,963551,2,90670,1371828,2,8000,1391152,3,127484,1325202,-,-,-,11,62849,814329
강동구,10,96665,361306,3,25823,108225,1,33980,99661,-,-,-,-,-,-,-,-,-,6,36862,153421
